timestamp,route,count
2025-08-20 12:45:02,901 State Fair - Hub,2
2025-08-20 12:45:02,909 Destiny USA,0
2025-08-20 12:45:02,907 Long Branch Park,1
2025-08-20 12:45:02,582 Orange Lot,0
2025-08-20 12:46:01,901 State Fair - Hub,2
2025-08-20 12:46:01,909 Destiny USA,0
2025-08-20 12:46:01,907 Long Branch Park,1
2025-08-20 12:46:01,582 Orange Lot,0
2025-08-20 12:47:01,901 State Fair - Hub,2
2025-08-20 12:47:01,909 Destiny USA,0
2025-08-20 12:47:01,907 Long Branch Park,1
2025-08-20 12:47:01,582 Orange Lot,0
2025-08-20 12:48:01,901 State Fair - Hub,2
2025-08-20 12:48:01,909 Destiny USA,0
2025-08-20 12:48:01,907 Long Branch Park,1
2025-08-20 12:48:01,582 Orange Lot,0
2025-08-20 12:49:02,901 State Fair - Hub,2
2025-08-20 12:49:02,909 Destiny USA,0
2025-08-20 12:49:02,907 Long Branch Park,1
2025-08-20 12:49:02,582 Orange Lot,0
2025-08-20 12:50:01,901 State Fair - Hub,2
2025-08-20 12:50:01,909 Destiny USA,0
2025-08-20 12:50:01,907 Long Branch Park,1
2025-08-20 12:50:01,582 Orange Lot,0
2025-08-20 12:51:01,901 State Fair - Hub,2
2025-08-20 12:51:01,909 Destiny USA,0
2025-08-20 12:51:01,907 Long Branch Park,1
2025-08-20 12:51:01,582 Orange Lot,0
2025-08-20 12:52:01,901 State Fair - Hub,2
2025-08-20 12:52:01,909 Destiny USA,0
2025-08-20 12:52:01,907 Long Branch Park,1
2025-08-20 12:52:01,582 Orange Lot,0
2025-08-20 12:53:02,901 State Fair - Hub,2
2025-08-20 12:53:02,909 Destiny USA,0
2025-08-20 12:53:02,907 Long Branch Park,2
2025-08-20 12:53:02,582 Orange Lot,0
2025-08-20 12:54:01,901 State Fair - Hub,2
2025-08-20 12:54:01,909 Destiny USA,0
2025-08-20 12:54:01,907 Long Branch Park,2
2025-08-20 12:54:01,582 Orange Lot,0
2025-08-20 12:55:01,901 State Fair - Hub,2
