,start_time,end_time,bus_id,route_name,direction
4293,2024-08-21 10:31:02,2024-08-21 10:40:01,2238,901 State Fair - Hub,Fairgrounds-bound
4294,2024-08-21 10:40:01,2024-08-21 10:52:01,2238,901 State Fair - Hub,hub-bound
4295,2024-08-21 10:52:01,2024-08-21 11:09:03,2238,901 State Fair - Hub,Fairgrounds-bound
4296,2024-08-21 11:09:03,2024-08-21 11:25:02,2238,901 State Fair - Hub,hub-bound
4297,2024-08-21 11:25:02,2024-08-21 11:47:02,2238,901 State Fair - Hub,Fairgrounds-bound
4298,2024-08-21 11:47:02,2024-08-21 11:57:02,2238,901 State Fair - Hub,hub-bound
4299,2024-08-21 11:57:02,2024-08-21 12:12:02,2238,901 State Fair - Hub,Fairgrounds-bound
4300,2024-08-21 12:12:02,2024-08-21 12:24:01,2238,901 State Fair - Hub,hub-bound
4301,2024-08-21 12:24:01,2024-08-21 12:43:02,2238,901 State Fair - Hub,Fairgrounds-bound
4302,2024-08-21 12:43:02,2024-08-21 12:55:02,2238,901 State Fair - Hub,hub-bound
4625,2024-08-21 12:49:01,2024-08-21 13:16:02,2242,909 Destiny USA,Fairgrounds-bound
1940,2024-08-21 12:51:03,2024-08-21 13:09:02,1778,901 State Fair - Hub,Fairgrounds-bound
3807,2024-08-21 12:54:01,2024-08-21 13:02:03,2230,909 Destiny USA,Fairgrounds-bound
4303,2024-08-21 12:55:02,2024-08-21 13:11:02,2238,901 State Fair - Hub,Fairgrounds-bound
3808,2024-08-21 13:02:03,2024-08-21 13:14:01,2230,909 Destiny USA,Destiny USA-bound
1941,2024-08-21 13:09:02,2024-08-21 13:24:02,1778,901 State Fair - Hub,hub-bound
4304,2024-08-21 13:11:02,2024-08-21 13:27:01,2238,901 State Fair - Hub,hub-bound
417,2024-08-21 13:12:02,2024-08-21 13:19:02,1753,907 Long Branch Park,Fairgrounds-bound
3809,2024-08-21 13:14:01,2024-08-21 13:37:02,2230,909 Destiny USA,Fairgrounds-bound
4626,2024-08-21 13:16:02,2024-08-21 13:26:02,2242,909 Destiny USA,Destiny USA-bound
418,2024-08-21 13:19:02,2024-08-21 13:34:01,1753,907 Long Branch Park,Long Branch Park-bound
1942,2024-08-21 13:24:02,2024-08-21 13:40:02,1778,901 State Fair - Hub,Fairgrounds-bound
4627,2024-08-21 13:26:02,2024-08-21 13:53:01,2242,909 Destiny USA,Fairgrounds-bound
4305,2024-08-21 13:27:01,2024-08-21 13:56:01,2238,901 State Fair - Hub,Fairgrounds-bound
419,2024-08-21 13:34:01,2024-08-21 14:08:01,1753,907 Long Branch Park,Fairgrounds-bound
3810,2024-08-21 13:37:02,2024-08-21 13:46:02,2230,909 Destiny USA,Destiny USA-bound
1943,2024-08-21 13:40:02,2024-08-21 13:55:01,1778,901 State Fair - Hub,hub-bound
1472,2024-08-21 13:43:01,2024-08-21 14:07:02,1771,909 Destiny USA,Fairgrounds-bound
3811,2024-08-21 13:46:02,2024-08-21 14:14:01,2230,909 Destiny USA,Fairgrounds-bound
4628,2024-08-21 13:53:01,2024-08-21 14:05:00,2242,909 Destiny USA,Destiny USA-bound
1944,2024-08-21 13:55:01,2024-08-21 14:11:01,1778,901 State Fair - Hub,Fairgrounds-bound
4306,2024-08-21 13:56:01,2024-08-21 14:07:02,2238,901 State Fair - Hub,hub-bound
4629,2024-08-21 14:05:00,2024-08-21 14:34:01,2242,909 Destiny USA,Fairgrounds-bound
4307,2024-08-21 14:07:02,2024-08-21 14:28:01,2238,901 State Fair - Hub,Fairgrounds-bound
1473,2024-08-21 14:07:02,2024-08-21 14:17:01,1771,909 Destiny USA,Destiny USA-bound
420,2024-08-21 14:08:01,2024-08-21 14:22:02,1753,907 Long Branch Park,Long Branch Park-bound
1945,2024-08-21 14:11:01,2024-08-21 14:22:02,1778,901 State Fair - Hub,hub-bound
