start_time,end_time,bus_id,route_name,direction
2025-08-27 17:43:01,2025-08-27 17:50:00,1233,907 Long Branch Park,Fairgrounds-bound
2025-08-27 17:50:00,2025-08-27 18:07:01,1233,907 Long Branch Park,Long Branch Park-bound
2025-08-27 18:07:01,2025-08-27 18:25:01,1233,907 Long Branch Park,Fairgrounds-bound
2025-08-27 18:25:01,2025-08-27 18:41:01,1233,907 Long Branch Park,Long Branch Park-bound
2025-08-27 18:41:01,2025-08-27 19:01:01,1233,907 Long Branch Park,Fairgrounds-bound
2025-08-27 19:01:01,2025-08-27 19:21:01,1233,907 Long Branch Park,Long Branch Park-bound
2025-08-27 19:21:01,2025-08-27 19:39:01,1233,907 Long Branch Park,Fairgrounds-bound
2025-08-27 19:39:01,2025-08-27 19:56:01,1233,907 Long Branch Park,Long Branch Park-bound
2025-08-27 19:56:01,2025-08-27 20:11:01,1233,907 Long Branch Park,Fairgrounds-bound
2025-08-27 20:11:01,2025-08-27 20:30:01,1233,907 Long Branch Park,Long Branch Park-bound
2025-08-27 20:30:01,2025-08-27 20:42:02,1233,907 Long Branch Park,Fairgrounds-bound
2025-08-27 20:29:01,2025-08-27 20:37:02,1625,907 Long Branch Park,Fairgrounds-bound
2025-08-27 20:37:02,2025-08-27 20:56:02,1625,907 Long Branch Park,Long Branch Park-bound
2025-08-27 20:56:02,2025-08-27 21:17:02,1625,907 Long Branch Park,Fairgrounds-bound
2025-08-27 21:17:02,2025-08-27 21:34:01,1625,907 Long Branch Park,Long Branch Park-bound
2025-08-27 21:34:01,2025-08-27 21:56:01,1625,907 Long Branch Park,Fairgrounds-bound
2025-08-27 21:56:01,2025-08-27 22:12:01,1625,907 Long Branch Park,Long Branch Park-bound
2025-08-27 22:12:01,2025-08-27 22:33:01,1625,907 Long Branch Park,Fairgrounds-bound
2025-08-27 22:33:01,2025-08-27 22:55:01,1625,907 Long Branch Park,Long Branch Park-bound
2025-08-27 22:55:01,2025-08-27 23:14:01,1625,907 Long Branch Park,Fairgrounds-bound
2025-08-27 23:14:01,2025-08-27 23:31:01,1625,907 Long Branch Park,Long Branch Park-bound
2025-08-27 23:31:01,2025-08-27 23:42:01,1625,907 Long Branch Park,Fairgrounds-bound
2025-08-21 17:36:01,2025-08-21 17:56:02,1628,909 Destiny USA,Fairgrounds-bound
2025-08-21 17:56:02,2025-08-21 18:19:01,1628,909 Destiny USA,Destiny USA-bound
2025-08-21 18:19:01,2025-08-21 18:51:01,1628,909 Destiny USA,Fairgrounds-bound
2025-08-21 18:51:01,2025-08-21 19:10:01,1628,909 Destiny USA,Destiny USA-bound
2025-08-21 19:10:01,2025-08-21 19:41:01,1628,909 Destiny USA,Fairgrounds-bound
2025-08-21 19:41:01,2025-08-21 20:04:01,1628,909 Destiny USA,Destiny USA-bound
2025-08-21 20:04:01,2025-08-21 20:24:01,1628,909 Destiny USA,Fairgrounds-bound
2025-08-21 20:24:01,2025-08-21 20:41:01,1628,909 Destiny USA,Destiny USA-bound
2025-08-21 20:41:01,2025-08-21 21:09:01,1628,909 Destiny USA,Fairgrounds-bound
2025-08-21 21:09:01,2025-08-21 21:21:01,1628,909 Destiny USA,Destiny USA-bound
2025-08-23 17:26:01,2025-08-23 17:34:01,1756,907 Long Branch Park,Fairgrounds-bound
2025-08-23 17:34:01,2025-08-23 17:54:01,1756,907 Long Branch Park,Long Branch Park-bound
2025-08-23 17:54:01,2025-08-23 18:39:01,1756,907 Long Branch Park,Fairgrounds-bound
2025-08-23 18:39:01,2025-08-23 19:01:02,1756,907 Long Branch Park,Long Branch Park-bound
